"Exam Board","Exam Type","Subject","Module","Topic","Sub Topic"
"AQA","A-LEVEL","Psychology (A-Level)","Issues and Options in Psychology (Optional Topics)","Relationships","The evolutionary explanations for partner preferences, including the relationship between sexual selection and human reproductive behaviour."
"AQA","A-LEVEL","Psychology (A-Level)","Issues and Options in Psychology","Issues and debates in Psychology","Ethical implications of research studies and theory, including socially sensitive research."
"AQA","A-LEVEL","Psychology (A-Level)","Issues and Options in Psychology","Issues and debates in Psychology","Idiographic and nomothetic approaches to psychological investigation. The strengths and limitations of each approach."
"AQA","A-LEVEL","Psychology (A-Level)","Issues and Options in Psychology","Issues and debates in Psychology","Holism and reductionism: levels of explanation in Psychology. Biological and environmental reductionism. The debate over which is the best level of explanation for any given behaviour."
"AQA","A-LEVEL","Psychology (A-Level)","Issues and Options in Psychology","Issues and debates in Psychology","The nature-nurture debate: the relative importance of heredity and environment in determining behaviour; the interactionist approach."
"AQA","A-LEVEL","Psychology (A-Level)","Issues and Options in Psychology","Issues and debates in Psychology","Free will and determinism: hard determinism and soft determinism; biological, environmental and psychic determinism. The scientific emphasis on causal explanations."
"AQA","A-LEVEL","Psychology (A-Level)","Issues and Options in Psychology","Issues and debates in Psychology","Gender and culture in Psychology – universality and bias. Gender bias including androcentrism and alpha and beta bias; cultural bias including ethnocentrism and cultural relativism."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Research Methods","Features of science: paradigms and paradigm shifts; theory construction and hypothesis testing; falsifiability; replicability; objectivity."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Research Methods","Reporting psychological investigations. Sections of a scientific report: abstract, introduction, method, results, discussion and referencing."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Research Methods","Inferential testing: choosing a statistical test; probability and significance; use of statistical tables; critical values; the sign test."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Research Methods","Content analysis and coding – thematic analysis."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Research Methods","Levels of measurement: nominal, ordinal and interval."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Research Methods","Analysis and interpretation of correlation, including correlation coefficients."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Research Methods","Presentation and display of quantitative data: graphs, tables, scattergrams, bar charts."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Research Methods","Data handling and analysis: quantitative and qualitative data; primary and secondary data, including meta-analysis. Descriptive statistics: measures of central tendency – mean, median, mode; calculation of mean, median and mode; measures of dispersion; range and standard deviation; calculation of range, calculation of percentages; positive, negative and zero correlations."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Research Methods","Ethics, including the role of the British Psychological Society’s code of ethics; ethical issues in the design and conduct of psychological studies; dealing with ethical issues in research."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Research Methods","Demand characteristics and investigator effects. Ways of dealing with these."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Research Methods","Control: random allocation and counterbalancing, randomisation and standardisation."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Research Methods","Variables: manipulation and control of variables, including independent, dependent, extraneous, confounding; operationalisation of variables."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Research Methods","Questionnaire construction, including open and closed questions; design of interviews."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Research Methods","Observational design: behavioural categories; event and time sampling."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Research Methods","Experimental designs: independent groups, repeated measures, matched pairs."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Research Methods","Pilot studies and the aims of piloting."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Research Methods","Aims and hypotheses. Sampling: the difference between population and sample; sampling techniques including: random, systematic, stratified, opportunity and volunteer; implications of sampling techniques, including bias and generalisation."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Research Methods","Research methods: Experiments: laboratory and field experiments; natural and quasi-experiments. Design of experiments: independent groups, repeated measures, matched pairs. Observational techniques. Types of observation: naturalistic, controlled, overt and covert; participant and non-participant. Self-report techniques: questionnaires; interviews, structured and unstructured. Correlations: analysis of the relationship between co-variables. The difference between correlations and experiments."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Biopsychology","Biological rhythms: circadian, infradian and ultradian and the difference between these rhythms. The effect of endogenous pacemakers and exogenous zeitgebers on the sleep/wake cycle."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Biopsychology","Ways of studying the brain: scanning techniques, including functional magnetic resonance imaging (fMRI); electroencephalogram (EEGs) and event-related potentials (ERPs); post-mortem examinations."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Biopsychology","Plasticity and functional recovery of the brain after trauma."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Biopsychology","Localisation of function in the brain and hemispheric lateralisation: motor, somatosensory, visual, auditory and language centres; Broca’s and Wernicke’s areas, split brain research."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Biopsychology","The fight or flight response including the role of adrenaline."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Biopsychology","The function of the endocrine system: glands and hormones."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Biopsychology","The structure and function of sensory, relay and motor neurons. The process of synaptic transmission, including reference to neurotransmitters, excitation and inhibition."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Approaches in Psychology","Comparison of approaches."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Approaches in Psychology","The basic assumptions of the following approaches: Humanistic Psychology: free will, self-actualisation and Maslow’s hierarchy of needs, focus on the self, congruence, the role of conditions of worth. The influence of humanistic Psychology on counselling Psychology."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Approaches in Psychology","The basic assumptions of the following approaches: The psychodynamic approach: the role of the unconscious, the structure of personality, that is Id, Ego and Superego, defence mechanisms including repression, denial and displacement, psychosexual stages."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Approaches in Psychology","The basic assumptions of the following approaches: The biological approach: the influence of genes, biological structures and neurochemistry on behaviour. Genotype and phenotype, genetic basis of behaviour, evolution and behaviour."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Approaches in Psychology","The basic assumptions of the following approaches: The cognitive approach: the study of internal mental processes, the role of schema, the use of theoretical and computer models to explain and make inferences about mental processes."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Approaches in Psychology","The basic assumptions of the following approaches: Learning approaches: i) the behaviourist approach, including classical conditioning and Pavlov’s research, operant conditioning, types of reinforcement and Skinner’s research; ii) social learning theory including imitation, identification, modelling, vicarious reinforcement, the role of mediational processes and Bandura’s research."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Approaches in Psychology","Origins of Psychology: Wundt, introspection and the emergence of Psychology as a science."
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Psychopathology","The biological approach to explaining and treating OCD: genetic and neural explanations; drug therapy"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Psychopathology","The cognitive approach to explaining and treating depression: Beck’s negative triad and Ellis’s ABC model; cognitive behaviour therapy (CBT), including challenging irrational thoughts"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Psychopathology","The behavioural approach to explaining and treating phobias: the two-process model, including classical and operant conditioning; systematic desensitisation, including relaxation and use of hierarchy; flooding"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Psychopathology","The behavioural, emotional and cognitive characteristics of phobias, depression and obsessive-compulsive disorder (OCD)"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Psychopathology","Definitions of abnormality, including deviation from social norms, failure to function adequately, statistical infrequency and deviation from ideal mental health"
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Biopsychology","The effect of endogenous pacemakers and exogenous zeitgebers on the sleep/wake cycle"
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Biopsychology","Biological rhythms: circadian, infradian and ultradian and the difference between these rhythms"
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Biopsychology","Ways of studying the brain: scanning techniques, including fMRI, EEG, ERPs and post-mortem examinations"
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Biopsychology","Split brain research and lateralisation"
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Biopsychology","Localisation of function in the brain and hemispheric lateralisation; motor, somatosensory, visual, auditory and language centres; Broca’s and Wernicke’s areas"
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Biopsychology","The fight or flight response including the role of adrenaline"
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Biopsychology","The function of the endocrine system: glands and hormones"
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Biopsychology","The process of synaptic transmission, including reference to neurotransmitters, excitation and inhibition"
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Biopsychology","The structure and function of sensory, relay and motor neurons"
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Biopsychology","The divisions of the nervous system: central and peripheral (somatic and autonomic)"
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Approaches in Psychology","Humanistic Psychology: free will, self-actualisation and Maslow’s hierarchy of needs, focus on the self, congruence, the role of conditions of worth, the influence on counselling Psychology."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Approaches in Psychology","The psychodynamic approach: the role of the unconscious, the structure of personality, that is Id, Ego and Superego, defence mechanisms including repression, denial and displacement, psychosexual stages."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Approaches in Psychology","The biological approach: the influence of genes, biological structures and neurochemistry on behaviour, genotype and phenotype, genetic basis of behaviour, evolution and behaviour."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Approaches in Psychology","The cognitive approach: the study of internal mental processes, the role of schema, the use of theoretical and computer models to explain and make inferences about mental processes, the emergence of cognitive neuroscience."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Approaches in Psychology","Learning approaches: the behaviourist approach, including classical conditioning and Pavlov’s research, operant conditioning, types of reinforcement and Skinner’s research; social learning theory including imitation, identification, modelling, vicarious reinforcement, the role of mediational processes and Bandura’s research."
"AQA","A-LEVEL","Psychology (A-Level)","Psychology in Context","Approaches in Psychology","Origins of Psychology: Wundt, introspection and the emergence of Psychology as a science"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Social Influence","Situational variables affecting obedience including proximity, location and uniform"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Attachment","The influence of early attachment on childhood and adult relationships, including the role of an internal working model"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Attachment","Bowlby’s theory of maternal deprivation. Romanian orphan studies: effects of institutionalisation"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Attachment","Cultural variations in attachment, including van Ijzendoorn"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Attachment","Ainsworth’s ‘Strange Situation’. Types of attachment: secure, insecure-avoidant and insecure-resistant"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Attachment","Explanations of attachment: learning theory and Bowlby’s monotropic theory. The concepts of a critical period and an internal working model"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Attachment","Animal studies of attachment: Lorenz and Harlow"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Attachment","Multiple attachments and the role of the father"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Attachment","Stages of attachment identified by Schaffer"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Attachment","Caregiver-infant interactions in humans: reciprocity and interactional synchrony"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Memory","Improving the accuracy of eyewitness testimony, including the use of the cognitive interview"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Memory","Factors affecting the accuracy of eyewitness testimony: misleading information, including leading questions and post-event discussion; anxiety"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Memory","Explanations for forgetting: proactive and retroactive interference and retrieval failure due to absence of cues"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Memory","Features of the model: coding and capacity"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Memory","The working memory model: central executive, phonological loop, visuo-spatial sketchpad and episodic buffer"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Memory","Types of long-term memory: episodic, semantic, procedural"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Memory","Features of each store: coding, capacity and duration"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Memory","The multi-store model of memory: sensory register, short-term memory and long-term memory"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Social Influence","Minority influence including reference to consistency, commitment and flexibility"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Social Influence","Resistance to social influence, including social support and locus of control"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Social Influence","Dispositional explanation for obedience: the Authoritarian Personality"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Social Influence","Situational variables affecting obedience including proximity, location and uniform, as investigated by Milgram"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Social Influence","Explanations for obedience: agentic state and legitimacy of authority"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Social Influence","Obedience to authority as investigated by Milgram"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Social Influence","Conformity to social roles as investigated by Zimbardo"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Social Influence","Variables affecting conformity including group size, unanimity and task difficulty as investigated by Asch"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Social Influence","Explanations for conformity: informational social influence and normative social influence"
"AQA","GCSE","Psychology","Introductory Topics in Psychology","Social Influence","Types of conformity: internalisation, identification and compliance"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Social Influence","Types of conformity: internalisation, identification and compliance"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Attachment","The influence of early attachment on childhood and adult relationships, including the role of an internal working model"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Attachment","Bowlby’s theory of maternal deprivation. Romanian orphan studies: effects of institutionalisation"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Attachment","Cultural variations in attachment, including van Ijzendoorn"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Attachment","Ainsworth’s ‘Strange Situation’. Types of attachment: secure, insecure-avoidant and insecure-resistant"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Attachment","Explanations of attachment: learning theory and Bowlby’s monotropic theory. The concepts of a critical period and an internal working model"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Attachment","Animal studies of attachment: Lorenz and Harlow"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Attachment","Multiple attachments and the role of the father"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Attachment","Stages of attachment identified by Schaffer"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Attachment","Caregiver-infant interactions in humans: reciprocity and interactional synchrony"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Memory","Improving the accuracy of eyewitness testimony, including the use of the cognitive interview"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Memory","Factors affecting the accuracy of eyewitness testimony: misleading information, including leading questions and post-event discussion; anxiety"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Memory","Explanations for forgetting: proactive and retroactive interference and retrieval failure due to absence of cues"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Memory","Features of the model: coding and capacity"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Memory","The working memory model: central executive, phonological loop, visuo-spatial sketchpad and episodic buffer"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Memory","Types of long-term memory: episodic, semantic, procedural"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Memory","Features of each store: coding, capacity and duration"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Memory","The multi-store model of memory: sensory register, short-term memory and long-term memory"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Social Influence","The role of social influence processes in social change"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Social Influence","Minority influence including reference to consistency, commitment and flexibility"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Social Influence","Resistance to social influence, including social support and locus of control"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Social Influence","Dispositional explanation for obedience: the Authoritarian Personality"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Social Influence","Situational variables affecting obedience including proximity, location and uniform, as investigated by Milgram"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Social Influence","Explanations for obedience: agentic state and legitimacy of authority"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Social Influence","Obedience to authority as investigated by Milgram"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Social Influence","Conformity to social roles as investigated by Zimbardo"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Social Influence","Variables affecting conformity including group size, unanimity and task difficulty as investigated by Asch"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Social Influence","Explanations for conformity: informational social influence and normative social influence"
"AQA","A-LEVEL","Psychology (A-Level)","Introductory Topics in Psychology","Social Influence","Types of conformity: internalisation, identification, compliance"
"Edexcel","GCSE","Spanish","Writing","Translation","Translating English into Spanish"
"Edexcel","GCSE","Spanish","Writing","Open-response, Informal Context","Using past, present, and future timeframes"
"Edexcel","GCSE","Spanish","Writing","Open-response, Informal Context","Describing, narrating, and explaining"
"Edexcel","GCSE","Spanish","Writing","Open-response, Formal Context","Using present and future timeframes"
"Edexcel","GCSE","Spanish","Writing","Open-response, Formal Context","Presenting facts"
"Edexcel","GCSE","Spanish","Writing","Open-response, Formal Context","Giving an opinion"
"Edexcel","GCSE","Spanish","Writing","Picture-based Task (Foundation)","Writing short sentences to describe a photo"
"Edexcel","GCSE","Spanish","Reading","Translation","Translating written Spanish into English"
"Edexcel","GCSE","Spanish","Reading","Reading Comprehension","Inferring meanings of unfamiliar words"
"Edexcel","GCSE","Spanish","Reading","Reading Comprehension","Recognising the relationship between past, present, and future events"
"Edexcel","GCSE","Spanish","Reading","Reading Comprehension","Identifying and responding to key points, details, and opinions"
"Edexcel","GCSE","Spanish","Listening","Dictation","Transcribing spoken Spanish into written Spanish"
"Edexcel","GCSE","Spanish","Listening","Listening Comprehension","Recognising the relationship between past, present, and future events"
"Edexcel","GCSE","Spanish","Listening","Listening Comprehension","Identifying and responding to key points, details, and opinions"
"Edexcel","GCSE","Spanish","Speaking","Picture Task","Participating in a conversation extending from the thematic context"
"Edexcel","GCSE","Spanish","Speaking","Picture Task","Answering two unprepared questions related to the picture"
"Edexcel","GCSE","Spanish","Speaking","Picture Task","Describing a picture (people, location, activity)"
"Edexcel","GCSE","Spanish","Speaking","Role Play","Asking/talking about activities"
"Edexcel","GCSE","Spanish","Speaking","Role Play","Making a complaint or reporting a problem"
"Edexcel","GCSE","Spanish","Speaking","Role Play","Asking for advice"
"Edexcel","GCSE","Spanish","Speaking","Role Play","Expressing likes/dislikes/preferences/opinions"
"Edexcel","GCSE","Spanish","Speaking","Role Play","Describing"
"Edexcel","GCSE","Spanish","Speaking","Role Play","Explaining or giving reasons"
"Edexcel","GCSE","Spanish","Speaking","Role Play","Making plans, appointments, or reservations"
"Edexcel","GCSE","Spanish","Speaking","Role Play","Making transactions (e.g., buying tickets, ordering food)"
"Edexcel","GCSE","Spanish","Speaking","Role Play","Giving and receiving information"
"Edexcel","GCSE","Spanish","Speaking","Read Aloud","Answering two straightforward questions related to the passage"
"Edexcel","GCSE","Spanish","Speaking","Read Aloud","Reading a short passage (35-40 words at Foundation, 50-55 words at Higher)"
"Edexcel","GCSE","Turkish","Theme 3: Current and future study and employment","3.3 Jobs, career choices and ambitions","Talking about future career choices"
"Edexcel","GCSE","Turkish","Theme 3: Current and future study and employment","3.3 Jobs, career choices and ambitions","Talking about part-time jobs"
"Edexcel","GCSE","Turkish","Theme 3: Current and future study and employment","3.2 Life at school/college","School/college day"
"Edexcel","GCSE","Turkish","Theme 3: Current and future study and employment","3.2 Life at school/college","Rules and regulations"
"Edexcel","GCSE","Turkish","Theme 3: Current and future study and employment","3.1 My studies","Talking about what you want to study in the future"
"Edexcel","GCSE","Turkish","Theme 3: Current and future study and employment","3.1 My studies","Talking about your school/college subjects"
"Edexcel","GCSE","Turkish","Theme 2: Local, national, international and global areas of interest","2.3 Global issues","Travel and tourism"
"Edexcel","GCSE","Turkish","Theme 2: Local, national, international and global areas of interest","2.3 Global issues","International aid"
"Edexcel","GCSE","Turkish","Theme 2: Local, national, international and global areas of interest","2.3 Global issues","The environment"
"Edexcel","GCSE","Turkish","Theme 2: Local, national, international and global areas of interest","2.2 Social issues","Poverty and homelessness"
"Edexcel","GCSE","Turkish","Theme 2: Local, national, international and global areas of interest","2.2 Social issues","Healthy living"
"Edexcel","GCSE","Turkish","Theme 2: Local, national, international and global areas of interest","2.2 Social issues","Charity/voluntary work"
"Edexcel","GCSE","Turkish","Theme 2: Local, national, international and global areas of interest","2.1 Home, town, neighbourhood and region","Giving directions"
"Edexcel","GCSE","Turkish","Theme 2: Local, national, international and global areas of interest","2.1 Home, town, neighbourhood and region","Describing your town/neighbourhood"
"Edexcel","GCSE","Turkish","Theme 2: Local, national, international and global areas of interest","2.1 Home, town, neighbourhood and region","Describing your house and region"
"Edexcel","GCSE","Turkish","Theme 1: Identity and culture","1.4 Customs and festivals in Turkish-speaking countries","Talking about customs and traditions"
"Edexcel","GCSE","Turkish","Theme 1: Identity and culture","1.4 Customs and festivals in Turkish-speaking countries","Talking about festivals and celebrations"
"Edexcel","GCSE","Turkish","Theme 1: Identity and culture","1.3 Free-time activities","Talking about where you go in your free time, with friends and family"
"Edexcel","GCSE","Turkish","Theme 1: Identity and culture","1.3 Free-time activities","Talking about what you do in your free time, including sports, music, reading, etc."
"Edexcel","GCSE","Turkish","Theme 1: Identity and culture","1.3 Free-time activities","Talking about hobbies and interests"
"Edexcel","GCSE","Turkish","Theme 1: Identity and culture","1.2 Technology in everyday life","Discussing the impact of technology"
"Edexcel","GCSE","Turkish","Theme 1: Identity and culture","1.2 Technology in everyday life","Talking about using mobile technology"
"Edexcel","GCSE","Turkish","Theme 1: Identity and culture","1.2 Technology in everyday life","Talking about using social media"
"Edexcel","GCSE","Turkish","Theme 1: Identity and culture","1.1 Me, my family and friends","Describing people’s physical appearance, personality and hobbies/interests"
"Edexcel","GCSE","Turkish","Theme 1: Identity and culture","1.1 Me, my family and friends","Talking about family celebrations"
"Edexcel","GCSE","Turkish","Theme 1: Identity and culture","1.1 Me, my family and friends","Describing family, friends and pets"
"Edexcel","GCSE","Turkish","Theme 1: Identity and culture","1.1 Me, my family and friends","Introducing oneself and others; giving personal information, e.g. name, age, birthday, where they live"
"Edexcel","GCSE","Religious Studies B","Religion and Ethics (Catholic Christianity)","Marriage and the Family","Catholic responses to different family types (nuclear, single parent, same-sex parents, extended, blended)"
"Edexcel","GCSE","Religious Studies B","Religion and Ethics (Catholic Christianity)","Marriage and the Family","Catholic teaching about the purpose and importance of the family (procreation, security, education)"
"Edexcel","GCSE","Religious Studies B","Religion and Ethics (Catholic Christianity)","Marriage and the Family","Catholic responses to divergent attitudes on sexual relationships"
"Edexcel","GCSE","Religious Studies B","Religion and Ethics (Catholic Christianity)","Marriage and the Family","Divergent attitudes towards sexual relationships"
"Edexcel","GCSE","Religious Studies B","Religion and Ethics (Catholic Christianity)","Marriage and the Family","Catholic teaching on sexual relationships outside marriage and same-sex relationships"
"Edexcel","GCSE","Religious Studies B","Religion and Ethics (Catholic Christianity)","Marriage and the Family","Catholic teaching about the importance of sexual relationships (marital, unitive, procreative)"
"Edexcel","GCSE","Religious Studies B","Religion and Ethics (Catholic Christianity)","Marriage and the Family","Catholic responses to divergent attitudes on marriage"
"Edexcel","GCSE","Religious Studies B","Religion and Ethics (Catholic Christianity)","Marriage and the Family","Divergent attitudes towards marriage (sanctity, lack of importance, cohabitation)"
"Edexcel","GCSE","Religious Studies B","Religion and Ethics (Catholic Christianity)","Marriage and the Family","Catholic teachings about marriage (e.g., 'Not Just Good, But Beautiful')"
"Edexcel","GCSE","Religious Studies B","Religion and Ethics (Catholic Christianity)","Marriage and the Family","Importance and purpose of marriage for Catholics"
"Edexcel","GCSE","Religious Studies B","Religion and Ethics (Catholic Christianity)","Catholic Beliefs","Eschatology: Importance of belief in life after death for Catholics today"
"Edexcel","GCSE","Religious Studies B","Religion and Ethics (Catholic Christianity)","Catholic Beliefs","Eschatology: Divergent Christian beliefs (purgatory, nature of resurrection)"
"Edexcel","GCSE","Religious Studies B","Religion and Ethics (Catholic Christianity)","Catholic Beliefs","Eschatology: Biblical basis (John 11:17-27, 2 Corinthians 5:1-10)"
"Edexcel","GCSE","Religious Studies B","Religion and Ethics (Catholic Christianity)","Catholic Beliefs","Eschatology: Catholic beliefs about life after death (resurrection, judgement, heaven, hell, purgatory)"
